year_month,sku_id,factory_type,factory,product_category,product_series,labor_unit_price,sku_source,monthly_order_qty,monthly_delivery_qty,monthly_delivery_labor_value
2023-03-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,36,30,0.0
2025-02-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,34,34,0.0
2023-05-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,34,33,0.0
2023-07-01,SKU_000002,In-house,Factory_051,Unknown,Series_002,0.0,Unknown,33,34,0.0
2025-07-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,33,0,0.0
2025-05-01,SKU_000002,In-house,Factory_048,Gold Jewelry,Series_002,0.0,Unknown,33,0,0.0
2022-06-01,SKU_000002,External,Factory_013,Unknown,Series_002,0.0,Unknown,32,32,0.0
2024-04-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,32,0,0.0
2025-05-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,31,21,0.0
2025-04-01,SKU_000002,External,Factory_047,Gem-set Jewelry,Series_002,0.0,Unknown,31,0,0.0
2025-03-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,31,0,0.0
2025-02-01,SKU_000002,External,Factory_060,Gem-set Jewelry,Series_002,0.0,Unknown,30,0,0.0
2025-02-01,SKU_000002,External,Factory_060,Fixed-price Gold,Series_002,0.0,Unknown,29,0,0.0
2024-06-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,29,0,0.0
2025-03-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,28,28,0.0
2022-05-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,28,28,0.0
2025-02-01,SKU_000002,External,Factory_102,Fixed-price Gold,Series_002,0.0,Unknown,28,0,0.0
2025-06-01,SKU_000002,External,Factory_116,Gold Jewelry,Series_002,0.0,Unknown,28,0,0.0
2024-09-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,28,0,0.0
2025-03-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,28,0,0.0
2025-03-01,SKU_000002,External,Factory_119,Gold Jewelry,Series_002,0.0,Unknown,27,0,0.0
2025-06-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,27,0,0.0
2022-04-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,26,26,0.0
2024-01-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,26,26,0.0
2023-03-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_002,0.0,Unknown,26,26,0.0
2025-01-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,26,0,0.0
2025-05-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,25,0,0.0
2025-07-01,SKU_000002,In-house,Factory_095,Fixed-price Gold,Series_002,0.0,Unknown,25,0,0.0
2025-04-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,25,0,0.0
2025-02-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,25,0,0.0
2025-05-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,25,0,0.0
2024-07-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,24,24,0.0
2023-11-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,24,24,0.0
2025-05-01,SKU_000002,External,Factory_034,Fixed-price Gold,Series_002,0.0,Unknown,24,0,0.0
2025-03-01,SKU_000002,External,Factory_110,Gold Jewelry,Series_002,0.0,Unknown,24,0,0.0
2024-12-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,24,0,0.0
2025-06-01,SKU_000002,In-house,Factory_048,Gem-set Jewelry,Series_002,0.0,Unknown,24,0,0.0
2025-03-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,24,0,0.0
2025-02-01,SKU_000002,External,Factory_016,Gem-set Jewelry,Series_002,0.0,Unknown,23,0,0.0
2025-04-01,SKU_000002,External,Factory_116,Gold Jewelry,Series_002,0.0,Unknown,23,0,0.0
2025-02-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,23,0,0.0
2023-06-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,22,22,0.0
2025-02-01,SKU_000002,External,Factory_063,Fixed-price Gold,Series_002,0.0,Unknown,22,0,0.0
2024-12-01,SKU_000002,External,Factory_112,Gem-set Jewelry,Series_002,0.0,Unknown,22,0,0.0
2024-12-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,22,0,0.0
2025-05-01,SKU_000002,External,Factory_021,Gem-set Jewelry,Series_002,0.0,Unknown,22,0,0.0
2025-02-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,22,0,0.0
2024-11-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,21,21,0.0
2024-12-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,21,21,0.0
2024-06-01,SKU_000002,External,Factory_115,Gem-set Jewelry,Series_002,0.0,Unknown,21,0,0.0
2025-01-01,SKU_000002,External,Factory_016,Gem-set Jewelry,Series_002,0.0,Unknown,21,0,0.0
2024-06-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,20,20,0.0
2022-10-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_002,0.0,Unknown,20,20,0.0
2023-10-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,20,16,0.0
2025-02-01,SKU_000002,External,Factory_110,Fixed-price Gold,Series_002,0.0,Unknown,20,0,0.0
2025-06-01,SKU_000002,External,Factory_034,Fixed-price Gold,Series_002,0.0,Unknown,20,0,0.0
2025-06-01,SKU_000002,External,Factory_047,K-Gold & Platinum,Series_002,0.0,Unknown,20,0,0.0
2025-05-01,SKU_000002,In-house,Factory_048,Fixed-price Gold,Series_002,0.0,Unknown,20,0,0.0
2025-03-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,19,22,0.0
2022-09-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,19,19,0.0
2024-01-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,19,17,0.0
2025-06-01,SKU_000002,External,Factory_124,Fixed-price Gold,Series_002,0.0,Unknown,19,0,0.0
2025-06-01,SKU_000002,External,Factory_008,Gem-set Jewelry,Series_002,0.0,Unknown,19,0,0.0
2025-02-01,SKU_000002,External,Factory_024,Gem-set Jewelry,Series_002,0.0,Unknown,19,0,0.0
2022-07-01,SKU_000002,External,Factory_073,Gem-set Jewelry,Series_002,0.0,Unknown,19,0,0.0
2025-04-01,SKU_000002,In-house,Factory_048,Fixed-price Gold,Series_002,0.0,Unknown,19,0,0.0
2024-12-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,19,0,0.0
2023-12-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,18,18,0.0
2023-04-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,18,18,0.0
2025-03-01,SKU_000002,External,Factory_120,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-03-01,SKU_000002,External,Factory_005,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-05-01,SKU_000002,External,Factory_024,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-03-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2024-10-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,18,0,0.0
2025-02-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,18,0,0.0
2025-05-01,SKU_000002,In-house,Factory_051,Fixed-price Gold,Series_002,0.0,Unknown,18,0,0.0
2025-07-01,SKU_000002,In-house,Factory_048,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-06-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-01-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,18,0,0.0
2025-02-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,17,14,0.0
2024-12-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,17,13,0.0
2024-07-01,SKU_000002,External,Factory_002,Fixed-price Gold,Series_002,0.0,Unknown,17,0,0.0
2025-06-01,SKU_000002,External,Factory_036,Fixed-price Gold,Series_002,0.0,Unknown,17,0,0.0
2024-07-01,SKU_000002,External,Factory_054,Fixed-price Gold,Series_002,0.0,Unknown,17,0,0.0
2025-03-01,SKU_000002,External,Factory_102,Fixed-price Gold,Series_002,0.0,Unknown,17,0,0.0
2025-06-01,SKU_000002,External,Factory_047,Gem-set Jewelry,Series_002,0.0,Unknown,17,0,0.0
2025-02-01,SKU_000002,In-house,Factory_095,Fixed-price Gold,Series_002,0.0,Unknown,17,0,0.0
2025-04-01,SKU_000002,In-house,Factory_048,Gold Jewelry,Series_002,0.0,Unknown,17,0,0.0
2023-08-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_002,0.0,Unknown,16,16,0.0
2024-11-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,16,0,0.0
2025-06-01,SKU_000002,In-house,Factory_048,Gold Jewelry,Series_002,0.0,Unknown,16,0,0.0
2024-12-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,15,15,0.0
2023-08-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_048,0.0,Unknown,15,15,0.0
2024-03-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,15,15,0.0
2025-05-01,SKU_000002,External,Factory_004,Fixed-price Gold,Series_002,0.0,Unknown,15,0,0.0
2024-12-01,SKU_000002,External,Factory_034,Fixed-price Gold,Series_002,0.0,Unknown,15,0,0.0
2025-02-01,SKU_000002,External,Factory_008,Gem-set Jewelry,Series_002,0.0,Unknown,15,0,0.0
2024-10-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,15,0,0.0
2023-05-01,SKU_000002,In-house,Factory_042,Gem-set Jewelry,Series_002,0.0,Unknown,15,0,0.0
2024-12-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,15,0,0.0
2024-02-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2024-07-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2023-02-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2023-10-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2024-04-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2025-04-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2025-05-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,14,14,0.0
2024-11-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,14,14,0.0
2024-04-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,14,14,0.0
2023-10-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,14,12,0.0
2024-04-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,14,11,0.0
2024-05-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,14,5,0.0
2023-05-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,14,1,0.0
2025-01-01,SKU_000002,External,Factory_034,Fixed-price Gold,Series_002,0.0,Unknown,14,0,0.0
2025-03-01,SKU_000002,External,Factory_115,K-Gold & Platinum,Series_002,0.0,Unknown,14,0,0.0
2025-06-01,SKU_000002,External,Factory_112,Gem-set Jewelry,Series_002,0.0,Unknown,14,0,0.0
2024-08-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,14,0,0.0
2024-11-01,SKU_000002,In-house,Factory_095,Gem-set Jewelry,Series_002,0.0,Unknown,14,0,0.0
2023-11-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,13,14,0.0
2022-06-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,13,13,0.0
2024-03-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,13,13,0.0
2024-01-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,13,13,0.0
2023-08-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,13,13,0.0
2024-04-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,13,13,0.0
2025-05-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,13,13,0.0
2025-03-01,SKU_000002,In-house,Factory_051,Unknown,Series_002,0.0,Unknown,13,9,0.0
2023-11-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,13,3,0.0
2025-02-01,SKU_000002,External,Factory_110,Gem-set Jewelry,Series_002,0.0,Unknown,13,0,0.0
2024-08-01,SKU_000002,External,Factory_008,Gem-set Jewelry,Series_002,0.0,Unknown,13,0,0.0
2025-04-01,SKU_000002,External,Factory_008,Gem-set Jewelry,Series_002,0.0,Unknown,13,0,0.0
2025-04-01,SKU_000002,External,Factory_108,Gem-set Jewelry,Series_002,0.0,Unknown,13,0,0.0
2025-06-01,SKU_000002,External,Factory_005,Gold Jewelry,Series_002,0.0,Unknown,13,0,0.0
2025-06-01,SKU_000002,External,Factory_085,Gold Jewelry,Series_002,0.0,Unknown,13,0,0.0
2022-12-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,12,19,0.0
2024-03-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,12,12,0.0
2023-09-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_002,0.0,Unknown,12,12,0.0
2023-02-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_048,0.0,Unknown,12,12,0.0
2024-07-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,12,6,0.0
2023-06-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,12,1,0.0
2025-03-01,SKU_000002,External,Factory_105,Fixed-price Gold,Series_002,0.0,Unknown,12,0,0.0
2025-02-01,SKU_000002,External,Factory_021,Gem-set Jewelry,Series_002,0.0,Unknown,12,0,0.0
2025-03-01,SKU_000002,External,Factory_060,Gem-set Jewelry,Series_002,0.0,Unknown,12,0,0.0
2025-02-01,SKU_000002,External,Factory_102,Gem-set Jewelry,Series_002,0.0,Unknown,12,0,0.0
2025-06-01,SKU_000002,External,Factory_029,Gold Jewelry,Series_002,0.0,Unknown,12,0,0.0
2025-04-01,SKU_000002,In-house,Factory_095,Fixed-price Gold,Series_002,0.0,Unknown,12,0,0.0
2025-03-01,SKU_000002,In-house,Factory_095,Gold Jewelry,Series_002,0.0,Unknown,12,0,0.0
2023-12-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,11,21,0.0
2023-03-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,11,11,0.0
2023-07-01,SKU_000002,External,Factory_100,Gem-set Jewelry,Series_002,0.0,Unknown,11,11,0.0
2024-01-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_048,0.0,Unknown,11,11,0.0
2023-09-01,SKU_000002,In-house,Factory_122,Other,Series_002,0.0,Unknown,11,11,0.0
2022-11-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,11,10,0.0
2024-05-01,SKU_000002,In-house,Factory_020,Other,Series_002,0.0,Unknown,11,10,0.0
2025-07-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,11,3,0.0
2024-09-01,SKU_000002,External,Factory_002,Fixed-price Gold,Series_002,0.0,Unknown,11,0,0.0
2025-02-01,SKU_000002,External,Factory_045,Fixed-price Gold,Series_002,0.0,Unknown,11,0,0.0
2024-12-01,SKU_000002,External,Factory_063,Fixed-price Gold,Series_002,0.0,Unknown,11,0,0.0
2025-02-01,SKU_000002,External,Factory_084,Fixed-price Gold,Series_002,0.0,Unknown,11,0,0.0
2025-01-01,SKU_000002,External,Factory_115,Gem-set Jewelry,Series_002,0.0,Unknown,11,0,0.0
2025-07-01,SKU_000002,External,Factory_008,Gem-set Jewelry,Series_002,0.0,Unknown,11,0,0.0
2025-05-01,SKU_000002,External,Factory_010,Gem-set Jewelry,Series_002,0.0,Unknown,11,0,0.0
